Fishbank,0xe3f4383c19dbe7436261e63dd811e43dbed29890,3455,External Call To Fixed Address,Low,"startAuction(uint256,uint256,uint256)",3455,107,3689,1940
Fishbank,0xe3f4383c19dbe7436261e63dd811e43dbed29890,3700,Integer Overflow,High,"startAuction(uint256,uint256,uint256)",3700,101,195899,36698
Fishbank,0xe3f4383c19dbe7436261e63dd811e43dbed29890,4979,External Call To Fixed Address,Low,buyAuction(uint256),4979,107,111486,6662
Fishbank,0xdf0f851ce2214febdc2d111cc591246ff813087d,1722,Exception State,Low,"approve(address,uint256)",1722,110,723,628
Fishbank,0xdf0f851ce2214febdc2d111cc591246ff813087d,2386,Exception State,Low,_function_0x36541cc5,2386,110,814,719
Fishbank,0xdf0f851ce2214febdc2d111cc591246ff813087d,2582,Exception State,Low,ownerOf(uint256),2582,110,839,744
Fishbank,0xdf0f851ce2214febdc2d111cc591246ff813087d,2852,Exception State,Low,convertChest(uint256),2852,110,2021,1073
Fishbank,0xdf0f851ce2214febdc2d111cc591246ff813087d,9037,Exception State,Low,"[many_msg_babbage(bytes1), transfer(address,uint256)] (ambiguous)",9037,110,1012,917
Fishbank,0x31c878f5fd6d692348365f052169e3b2aa024a32
Fishbank,0xA98Ad92a642570b83B369C4eb70efefe638bc895,4858,Exception State,Low,buyChest(uint16),4858,110,1503,460
Fishbank,0xA98Ad92a642570b83B369C4eb70efefe638bc895,6269,Exception State,Low,"approve(address,uint256)",6269,110,855,760
Fishbank,0xA98Ad92a642570b83B369C4eb70efefe638bc895,7083,Exception State,Low,_function_0x16709c22,7083,110,902,807
Fishbank,0xA98Ad92a642570b83B369C4eb70efefe638bc895,7815,Exception State,Low,_function_0x3fc83dc9,7815,110,656,561
Fishbank,0xA98Ad92a642570b83B369C4eb70efefe638bc895,8179,Exception State,Low,"applyBooster(uint256,uint256)",8179,110,1141,1046
Fishbank,0x26c720c79c2518d42bdf604bcf0f433d0f67a8da,5043,Exception State,Low,getCooldown(uint16),5043,110,391,296
Franklin's Library,0x87e5212A30135d562501143cec9F95fFb1De4e9f,3579,External Call To Fixed Address,Low,myDividends(),3579,107,2371,1570
Franklin's Library,0x87e5212A30135d562501143cec9F95fFb1De4e9f,6427,Exception State,Low,buyKnowledge(),6427,110,1693,1268
Franklin's Library,0x87e5212A30135d562501143cec9F95fFb1De4e9f,6511,Exception State,Low,"calculateTrade(uint256,uint256,uint256)",6511,110,973,878
Galleass.io,0xC15fa062d898f89e943429D056200D08614DDF89
Galleass.io,0xC15fa062d898f89e943429D056200D08614DDF89
Gallery 6,0x09B943c157Ee9d56b0E9168E15eEA2C64Ea85393,410,Delegatecall Proxy,Low,fallback,410,112,4378,1226
Gallery 6,0x09B943c157Ee9d56b0E9168E15eEA2C64Ea85393,2544,Exception State,Low,costs(uint256),2544,110,807,712
Gallery 6,0x09B943c157Ee9d56b0E9168E15eEA2C64Ea85393,3578,Exception State,Low,values(uint256),3578,110,917,822
Gallery 6,0x09B943c157Ee9d56b0E9168E15eEA2C64Ea85393,5388,External Call To Fixed Address,Low,getFees(),5388,107,14775,10194
Gallery 6,0x09B943c157Ee9d56b0E9168E15eEA2C64Ea85393,5544,Exception State,Low,ids(uint256),5544,110,1247,1152
GameCard,0xa25E8050F80eE99A17E861CD0931D5D362CAA34E,6378,Exception State,Low,cardDetailsList(uint256),6378,110,836,741
GameCard,0xa25E8050F80eE99A17E861CD0931D5D362CAA34E,10589,Exception State,Low,cardList(uint256),10589,110,1232,1137
GameCard,0xaE62cc634B17a98B5cbCe3305C73Fba4CCd230A4
GameCard,0x598382D2ba5E70624F0A7F9EEB1454E92A3169c2
GeoEth,0x59d34dE599716AA949487230c21FBAb178496671,1812,Exception State,Low,getGameById(uint256),1812,110,1451,788
Gittron,0xfb6ff3d0eba6b8e69fceb04afe5f230611a34a36
Gittron,0x162d3e80d51f96240ae0a44ab3a5b1ea23920ce4
Gizer,0xe638dc39b6adbee8526b5c22380b4b45daf46d8e
Glitch Goons,glitchgoons1
Glitch Goons,0xaE42410C62e8254429E0fA06a4f965ee7D123EB5
Glitch Goons,etherdalecom
Glitch Goons,0x18337c61e4f16A2E474c0d6124d85C522C26bBDD
Glitch Goons,glitchgoons2
Gods Unchained,0x91b9d2835ad914bc1dcfe09bd1816febd04fd689,144,Integer Overflow,High,fallback,144,101,1453,1358
Gods Unchained,0x91b9d2835ad914bc1dcfe09bd1816febd04fd689,524,Integer Overflow,High,fallback,524,101,1453,1358
Gods Unchained,0xc47D7d42E44b2e04c83a45cF45898E597A0c2311,1769,Exception State,Low,claim(uint256),1769,110,1167,742
Gods Unchained,0xc47D7d42E44b2e04c83a45cF45898E597A0c2311,2880,Exception State,Low,recommit(uint256),2880,110,1222,797
Gods Unchained,0xc47D7d42E44b2e04c83a45cF45898E597A0c2311,3272,Exception State,Low,_function_0x8392fe31,3272,110,1326,901
Gods Unchained,0xc47D7d42E44b2e04c83a45cF45898E597A0c2311,3600,Exception State,Low,_function_0xb84c1392,3600,110,1458,1033
Gods Unchained,0x5789e2b5460cae9329d93a78511e2ac49f98a1f6,1885,Exception State,Low,claim(uint256),1885,110,855,760
Gods Unchained,0x5789e2b5460cae9329d93a78511e2ac49f98a1f6,5098,Exception State,Low,callback(uint256),5098,110,1180,1085
Gods Unchained,0x015531a044bae03bf4dab1ceabfc232a969b7175,1885,Exception State,Low,claim(uint256),1885,110,855,760
Gods Unchained,0x015531a044bae03bf4dab1ceabfc232a969b7175,5757,Exception State,Low,callback(uint256),5757,110,1180,1085
Gods Unchained,0xe7e02be77d46ca4def893d1d05198f4be5c1ecd8
Gods Unchained,0x1e891C587b345ab02A31b57c1F926fB08913d10D,1814,Exception State,Low,claim(uint256),1814,110,1167,742
Gods Unchained,0x1e891C587b345ab02A31b57c1F926fB08913d10D,2925,Exception State,Low,recommit(uint256),2925,110,1222,797
Gods Unchained,0x1e891C587b345ab02A31b57c1F926fB08913d10D,3317,Exception State,Low,_function_0x8392fe31,3317,110,1326,901
Gods Unchained,0x1e891C587b345ab02A31b57c1F926fB08913d10D,3645,Exception State,Low,_function_0xb84c1392,3645,110,1458,1033
Gods Unchained,0x6e0051c750b81f583f42f93a48d56497779992d8,1885,Exception State,Low,claim(uint256),1885,110,855,760
Gods Unchained,0x6e0051c750b81f583f42f93a48d56497779992d8,5758,Exception State,Low,callback(uint256),5758,110,1180,1085
Gods Unchained,0x0777f76d195795268388789343068e4fcd286919,1722,Exception State,Low,claim(uint256),1722,110,1145,720
Gods Unchained,0x0777f76d195795268388789343068e4fcd286919,2701,Exception State,Low,recommit(uint256),2701,110,1200,775
Gods Unchained,0x0777f76d195795268388789343068e4fcd286919,4062,Exception State,Low,_function_0x8392fe31,4062,110,1304,879
Gods Unchained,0x0777f76d195795268388789343068e4fcd286919,4390,Exception State,Low,_function_0xb84c1392,4390,110,1436,1011
Gods Unchained,0x000983ba1a675327f0940b56c2d49cd9c042dfbf,1987,Exception State,Low,claim(uint256),1987,110,855,760
Gods Unchained,0x000983ba1a675327f0940b56c2d49cd9c042dfbf,5294,Exception State,Low,callback(uint256),5294,110,1202,1107
Gods Unchained,0x482Cf6A9d6b23452C81d4D0f0f139C1414963f89,1722,Exception State,Low,claim(uint256),1722,110,1145,720
Gods Unchained,0x482Cf6A9d6b23452C81d4D0f0f139C1414963f89,2701,Exception State,Low,recommit(uint256),2701,110,1200,775
Gods Unchained,0x482Cf6A9d6b23452C81d4D0f0f139C1414963f89,4062,Exception State,Low,_function_0x8392fe31,4062,110,1304,879
Gods Unchained,0x482Cf6A9d6b23452C81d4D0f0f139C1414963f89,4390,Exception State,Low,_function_0xb84c1392,4390,110,1436,1011
GoPony,0x91af19d0e94710bb2f26ec09a9b25308386c2452
GoPony,0x82a73f1407faf50c0703433d7449e7916b95c32b,1312,External Call To Fixed Address,Low,getMyTokenBalance(),1312,107,3412,1951
GoPony,0xd772358fc49821e79cdd36c6f1a07ec860ee384e,1162,Exception State,Low,lastGen0SalePrices(uint256),1162,110,294,199
GoPony,0xb6fc6e2385d55ccb83e297bd92e2bd89795b47a3,5398,Exception State,Low,getPony(uint256),5398,110,1381,956
GoPony,0xb6fc6e2385d55ccb83e297bd92e2bd89795b47a3,6014,Exception State,Low,"canBreedWith(uint256,uint256)",6014,110,1475,1050
GoPony,0xb6fc6e2385d55ccb83e297bd92e2bd89795b47a3,6045,Exception State,Low,"canBreedWith(uint256,uint256)",6045,110,2075,1555
GoPony,0xb6fc6e2385d55ccb83e297bd92e2bd89795b47a3,7959,Exception State,Low,_function_0x863f7199,7959,110,1885,1460
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,1856,Exception State,Low,"tiles(uint256,uint256)",1856,110,479,384
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,1877,Exception State,Low,"tiles(uint256,uint256)",1877,110,528,433
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,2562,Exception State,Low,"claimTile(uint256,uint256,uint256)",2562,110,2197,1772
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,2583,Exception State,Low,"claimTile(uint256,uint256,uint256)",2583,110,2246,1821
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,1856,Exception State,Low,"tiles(uint256,uint256)",1856,110,479,384
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,1877,Exception State,Low,"tiles(uint256,uint256)",1877,110,528,433
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,2562,Exception State,Low,"claimTile(uint256,uint256,uint256)",2562,110,2197,1772
Hash Heroes,0x103992432927f7ed1a5b3dc0e34186f80b16d93c,2583,Exception State,Low,"claimTile(uint256,uint256,uint256)",2583,110,2246,1821
HashKings,0x57CDee8a9658F364553FE89BA200252B00Ad05D9,2161,Integer Overflow,High,name(),2161,101,3336,1595
HashKings,0x57CDee8a9658F364553FE89BA200252B00Ad05D9,3378,Integer Overflow,High,_function_0x7dd7d32d,3378,101,4256,2277
HashKings,0x57CDee8a9658F364553FE89BA200252B00Ad05D9,3533,Integer Overflow,High,_function_0x7dd7d32d,3533,101,4256,2277
HashKings,0x57CDee8a9658F364553FE89BA200252B00Ad05D9,3798,Integer Overflow,High,"[link_classic_internal(uint64,int64), symbol()] (ambiguous)",3798,101,3776,2035
HDX20,0x8942a5995bd168f347f7ec58f25a54a9a064f882,2005,Integer Overflow,High,fallback,2005,101,3265,1524
Hedgely,0xB945930D22D3aac16982F8ca00a52e7ED73Ec981
Hedgely,0x8b548505bABFd983Fc45210499b44e340bb85d76
Heroes Of Ethereum,0xe22aa88573ca6bdde35cae8f84d92c38c402dcba
HIPR,0xf792c43f23c39f7de185cfdc6ce96aa69e9f00c1
HIPR,0xf792c43f23c39f7de185cfdc6ce96aa69e9f00c1
